PID,px_ft,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle_Gable,RoofMatl_CompShg,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,MoSold,YrSold,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,TotalBath,MasVnrType__0,MasVnrType__BrkCmn,MasVnrType__BrkFace,MasVnrType__Stone,Foundation__BrkTil,Foundation__PConc,Foundation__Slab,Foundation__Stone,Foundation__Wood,Heating__Floor,Heating__GasW,Heating__Grav,Heating__OthW,Heating__Wall,Functional__Maj1,Functional__Maj2,Functional__Min1,Functional__Min2,Functional__Mod,Functional__Sal,GarageType__2Types,GarageType__Basment,GarageType__BuiltIn,GarageType__CarPort,GarageType__Detchd,GarageType__None,GarageFinish__Fin,GarageFinish__None,GarageFinish__RFn,BldgType__2fmCon,BldgType__Duplex,BldgType__Twnhs,BldgType__TwnhsE,LotConfig__Corner,LotConfig__CulDSac,LotConfig__FR2,LotConfig__FR3,HouseStyle__1.5Fin,HouseStyle__1.5Unf,HouseStyle__2.5Fin,HouseStyle__2.5Unf,HouseStyle__2Story,HouseStyle__SFoyer,HouseStyle__SLvl,Condition1__Artery,Condition1__Feedr,Condition1__PosA,Condition1__PosN,Condition1__RRAe,Condition1__RRAn,Condition1__RRNe,Condition1__RRNn,ISU_dist
526353050,112.1870572,4,3,6,7,1970,1970,1,1,3,3,3,3,2,4,1,5,1,5,2008,2,4,1,3,7,2,2,3,3,0,42,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.415748729
526354020,103.7817396,4,3,7,6,1969,1969,1,1,3,4,3,3,2,1,1,4,1,3,2006,2,3,1,3,8,1,2,3,3,0,146,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.721123507
526354070,97.96401515,4,3,6,5,1969,1969,1,1,3,3,2,3,2,5,2,3,1,6,2008,2,4,1,3,9,2,2,3,3,280,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.643435296
526355080,127.5887574,4,3,8,7,1972,1995,1,1,4,3,4,3,4,6,1,4,1,7,2009,2,4,1,5,9,3,2,3,3,269,111,0,0,0,0,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.756543701
526355170,109.7615834,4,3,7,6,1973,1973,1,1,3,4,4,3,4,5,1,5,1,2,2007,2,3,1,3,8,2,2,3,3,300,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.673045024
526355190,120.8840776,4,2,8,6,1970,1970,0,0,4,4,3,4,4,5,3,5,1,10,2007,2,4,1,4,8,1,2,3,3,81,207,0,0,224,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.732854313
527105010,116.5745856,4,3,5,5,1997,1998,1,1,3,3,4,3,1,6,1,4,1,3,2010,2,3,1,3,6,1,2,3,3,212,34,0,0,0,0,3,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.892534675
527105030,121.882793,4,3,6,6,1998,1998,1,1,3,3,3,3,1,6,1,5,1,6,2010,2,3,1,4,7,1,2,3,3,360,36,0,0,0,0,0,2.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.903718065
527105050,116.8952618,4,3,6,5,1997,1998,1,1,3,3,3,3,1,4,1,5,1,4,2008,2,3,1,3,7,1,2,3,3,0,36,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.978738116
527105060,120.3278689,4,3,6,5,1997,1998,1,1,3,3,3,3,1,6,1,5,1,5,2006,2,3,1,3,6,1,2,3,3,421,72,0,0,0,0,0,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.983212119
527105070,117.8482587,4,3,6,5,1997,1997,1,1,3,3,4,3,1,5,1,5,1,7,2009,2,3,1,3,7,1,2,3,3,252,30,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.827473198
527105130,118.2654402,4,3,8,5,2003,2003,1,1,4,3,4,3,4,6,1,5,1,8,2009,2,4,1,4,9,1,3,3,3,120,46,0,0,0,0,0,2.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.907083424
527105140,129.8326601,4,3,7,5,2003,2003,1,1,4,3,4,3,4,1,1,5,1,10,2007,2,3,1,4,7,1,2,3,3,100,48,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.911761496
527106010,99.28443649,4,3,7,5,1997,1997,1,1,3,3,4,3,1,1,1,4,1,11,2006,2,4,1,4,8,1,2,3,3,0,0,0,0,0,0,0,2.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.019546507
527106050,112.244898,4,3,6,5,1995,1996,1,1,3,3,4,3,1,5,1,4,1,10,2008,2,3,1,3,7,1,2,3,3,192,49,0,0,0,0,0,2.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.946440576
527106140,121.882793,4,3,6,5,1998,1998,1,1,3,3,4,3,4,6,1,5,1,5,2008,2,3,1,3,7,0,2,3,3,100,82,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.909739742
527106150,117.2161172,4,3,6,5,1998,1998,1,1,3,3,4,3,4,6,1,4,1,7,2008,2,3,1,3,7,2,2,3,3,100,38,0,0,0,0,0,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.904826512
527107010,105.7457213,4,3,6,5,1996,1996,1,1,3,3,4,3,1,3,1,4,1,11,2008,2,3,1,3,7,1,2,3,3,168,84,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.903420308
527107020,101.7354877,4,3,6,5,1995,1995,1,1,3,3,4,3,1,1,1,4,1,2,2006,2,3,1,3,7,1,2,3,3,0,84,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.900123422
527107030,125.1668892,4,3,6,5,1995,1996,1,1,3,3,4,3,1,5,1,4,1,7,2006,2,3,1,3,6,1,2,3,3,315,44,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.896826779
527107040,106.870229,4,3,6,5,1995,1996,1,1,3,3,4,3,1,1,1,4,1,5,2007,2,3,1,3,7,1,2,3,3,0,40,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.934272801
527107090,128.5404624,4,3,5,5,1996,1997,1,1,4,3,4,3,1,6,1,4,1,11,2008,2,3,1,4,7,0,2,3,3,0,39,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.001814048
527107120,113.7387387,4,3,6,5,1996,1996,1,1,3,3,4,3,1,1,1,4,1,5,2006,2,3,1,3,7,1,2,3,3,286,116,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.057725394
527107130,116.0933661,4,3,7,5,1996,1997,1,1,3,3,4,3,1,6,1,4,1,6,2009,2,3,1,3,7,1,2,3,3,48,72,0,0,0,0,0,2.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.077022532
527107210,121.0235131,4,3,7,5,1996,1997,1,1,3,3,4,3,4,6,1,5,1,8,2008,2,3,1,3,6,1,2,3,3,264,22,0,0,0,0,0,7.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.972610447
527107240,122.4354732,4,3,6,5,1997,1997,1,1,3,3,4,3,3,6,1,4,1,6,2006,2,3,1,3,8,1,2,3,3,95,75,0,0,0,0,0,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.972610447
527108030,121.124031,4,3,8,5,2005,2005,1,1,4,3,4,3,1,1,1,5,1,1,2006,2,4,1,4,7,1,2,3,3,0,119,0,0,0,0,0,2.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.21487565
527108040,133.2037757,4,3,8,5,2005,2005,1,1,4,3,4,3,1,1,1,5,1,6,2006,2,3,1,4,8,1,3,3,3,0,116,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.217182449
527108060,139.6925859,4,3,7,5,2005,2006,1,1,4,3,4,3,3,6,1,5,1,5,2006,2,3,1,4,9,1,3,3,3,237,38,0,0,115,0,0,3.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.221692287
527108070,216.2084765,4,3,9,5,2006,2007,1,1,5,3,5,3,4,6,1,5,1,10,2009,2,3,1,5,7,2,3,3,3,201,39,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.234618915
527108090,135.9351806,4,3,7,5,2006,2006,1,1,4,3,5,4,1,1,1,5,1,9,2006,2,3,1,4,9,1,2,3,3,0,100,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.22963452
527110020,114.3147897,4,3,7,5,1995,1996,1,1,3,3,4,3,1,1,1,4,1,5,2009,2,3,1,3,7,1,2,3,3,120,72,0,0,0,0,0,2.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.945038761
527110080,120.4081633,4,3,6,6,1997,1997,1,1,3,3,4,3,3,6,1,4,1,7,2007,2,3,1,3,6,0,2,3,3,0,75,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.972610447
527110120,105.625,4,3,6,5,1997,1997,1,1,3,3,4,3,3,1,1,4,1,8,2007,2,3,1,3,7,1,2,3,3,100,38,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.972610447
527110130,116.6907514,4,3,6,5,1997,1997,1,1,3,3,4,3,1,1,1,4,1,3,2007,2,3,1,3,7,1,2,3,3,0,0,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.972610447
527126030,151.937046,4,3,8,5,2000,2000,1,1,4,3,4,3,3,6,1,5,1,8,2007,2,2,1,5,6,0,2,3,3,96,48,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.273305519
527127100,148.6915147,4,3,8,5,2004,2005,1,1,4,3,5,3,3,6,1,5,1,11,2009,2,1,1,4,8,1,2,3,3,182,57,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.282735047
527127140,179.5354677,4,3,8,5,2001,2002,1,1,4,3,5,3,3,6,1,5,1,8,2008,1,0,1,5,5,1,2,3,3,0,120,0,0,224,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.282735047
527127150,159.5665172,4,3,8,5,2001,2001,1,1,4,3,4,3,2,6,1,5,1,4,2010,2,2,1,4,6,0,2,3,3,0,0,170,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.282735047
527131030,167.5708258,4,3,8,5,2000,2000,1,1,4,3,4,3,1,6,1,5,1,10,2009,2,2,1,5,5,1,2,3,3,212,59,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.174049848
527131110,147.3840666,4,3,8,5,1997,1997,1,1,4,3,5,3,2,6,1,5,1,7,2008,1,1,1,4,6,1,2,3,3,0,0,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.114927107
527132090,162.3815968,4,3,8,5,1998,1998,1,1,3,3,4,3,3,6,1,5,1,7,2009,2,2,1,3,5,0,2,3,3,168,43,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.124063776
527140090,134.6297681,4,3,8,5,1993,1993,1,1,4,3,4,3,1,6,1,4,1,10,2008,2,2,1,4,5,1,2,3,3,96,0,70,168,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.997308132
527145080,149.609375,4,3,8,5,1992,1992,1,1,4,3,4,3,1,5,1,5,1,1,2010,2,2,1,4,5,0,2,3,3,0,82,0,0,144,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.989702772
527145090,140.625,4,3,8,5,1992,1992,1,1,4,3,4,3,2,1,1,5,1,8,2008,2,2,1,4,5,0,2,3,3,0,82,0,0,144,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.992588378
527146010,138.1199539,4,3,8,5,1995,1996,1,1,4,3,4,3,1,6,1,5,1,9,2009,2,2,1,4,6,0,2,3,3,52,50,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.075608274
527146030,146.3490099,4,3,8,5,1995,1996,1,1,4,3,4,3,1,6,1,5,1,3,2010,2,2,1,4,5,1,2,3,3,237,152,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.076699759
527146135,100.4838109,4,3,8,5,1994,1994,1,1,4,3,4,3,1,1,1,5,1,12,2006,2,4,1,4,9,0,2,3,3,168,12,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.903062962
527158020,156.9717707,4,3,6,6,1993,1994,1,1,3,3,4,3,1,6,1,4,1,7,2006,2,3,1,3,6,1,2,3,3,0,26,0,0,144,0,3,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.819997334
527158090,94.45100354,4,3,6,5,1994,1994,1,1,3,3,4,3,1,2,1,4,1,3,2007,2,3,1,3,7,1,2,3,3,256,64,0,0,0,0,3,2.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.848233366
527161010,112.8428928,4,3,6,5,1997,1998,1,1,3,3,4,3,1,1,1,5,1,7,2008,2,3,1,3,7,1,2,3,3,0,36,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.703646693
