PID,GrLivArea_Log,OverallQual,LotArea_Log,CentralAir,KitchenQual,Fireplaces,HeatingQC,OverallCond,BsmtQual,PavedDrive,BsmtExposure,YearBuilt,YearRemodAdd,ExterQual,GarageArea,TotalBsmtSF,BsmtFinSF1,BsmtFinType1,target
526355080,7.902487437162856,8,9.536762272743896,1,5,3,4,7,4.0,3,4.0,1972,1995,4,538.0,1952.0,1410.0,6.0,12.751299696013493
526355170,7.7066129139641975,7,9.521568058002977,1,3,2,5,6,4.0,3,4.0,1973,1973,3,516.0,2223.0,1880.0,5.0,12.404923504275338
526355190,7.703910209616311,8,9.671870704017296,1,4,1,5,6,3.0,3,4.0,1970,1970,4,621.0,2217.0,351.0,5.0,12.498742259492994
527105010,7.395721608602044,5,9.534595424658805,1,3,1,4,5,4.0,3,1.0,1997,1998,3,482.0,928.0,791.0,6.0,12.154252896800378
527105030,7.38025578842646,6,9.208137948420985,1,4,1,5,6,3.0,3,1.0,1998,1998,3,470.0,926.0,602.0,6.0,12.183315658407556
527105050,7.38025578842646,6,9.071308163280623,1,3,1,5,5,3.0,3,1.0,1997,1998,3,470.0,926.0,706.0,4.0,12.141534124392605
527105060,7.329749689041513,6,9.016512874996026,1,3,1,5,5,3.0,3,1.0,1997,1998,3,400.0,813.0,700.0,6.0,12.11996994647676
527105070,7.382746449738913,6,9.22808205345234,1,3,1,5,5,4.0,3,1.0,1997,1997,3,470.0,945.0,847.0,5.0,12.15214430350462
527105130,7.733245646529795,8,9.375176614429117,1,4,1,5,5,4.0,3,4.0,2003,2003,4,632.0,1008.0,850.0,6.0,12.506177237980511
527105140,7.457609289715606,7,9.424967763522053,1,4,1,5,5,4.0,3,4.0,2003,2003,4,433.0,847.0,0.0,1.0,12.323855681186556
527106010,7.712443834274991,7,9.473166068429098,1,4,1,4,5,4.0,3,1.0,1997,1997,3,642.0,964.0,0.0,1.0,12.310432660854413
527106050,7.293017679772782,6,9.004422601327041,1,3,1,4,5,4.0,3,1.0,1995,1996,3,420.0,680.0,476.0,5.0,12.013700752882716
527106140,7.38025578842646,6,9.16272451803452,1,3,0,5,5,4.0,3,4.0,1998,1998,3,472.0,926.0,851.0,6.0,12.183315658407556
527106150,7.401231264413014,6,9.109635667854553,1,3,2,4,5,4.0,3,4.0,1998,1998,3,472.0,943.0,828.0,6.0,12.165250651009917
527107010,7.400009517162693,6,9.618335609937972,1,3,1,4,5,4.0,3,1.0,1996,1996,3,386.0,916.0,138.0,3.0,12.061046873479915
527107020,7.4211775285953925,6,9.4758535196569,1,3,1,4,5,4.0,3,1.0,1995,1995,3,423.0,781.0,0.0,1.0,12.0435537160324
527107030,7.3118861640771655,6,9.475086413144906,1,3,1,4,5,4.0,3,1.0,1995,1996,3,409.0,691.0,592.0,5.0,12.141534124392605
527107040,7.360103972989153,6,9.246093541682,1,3,1,4,5,4.0,3,1.0,1995,1996,3,373.0,806.0,0.0,1.0,12.031719258385394
527107090,7.232733136177615,5,9.556550752867034,1,4,0,4,5,4.0,3,1.0,1996,1997,4,404.0,1348.0,450.0,6.0,12.088976873653927
527107120,7.4821189235521155,6,9.18840146445743,1,3,1,4,5,4.0,3,1.0,1996,1996,3,443.0,821.0,0.0,1.0,12.216022976383341
527107130,7.395107546562485,7,9.035986984831405,1,3,1,4,5,4.0,3,1.0,1996,1997,3,390.0,384.0,284.0,6.0,12.14950229404178
527107210,7.276556402718709,7,9.99296255896373,1,3,1,5,5,4.0,3,4.0,1996,1997,3,406.0,729.0,604.0,6.0,12.072541252905653
527107240,7.320526962272741,6,9.324293862052027,1,3,1,4,5,4.0,3,3.0,1997,1997,3,413.0,802.0,714.0,6.0,12.128111104060464
527108030,7.632401126601453,8,9.482502632769927,1,4,1,5,5,4.0,3,1.0,2005,2005,4,527.0,1074.0,0.0,1.0,12.429216196844385
527108040,7.496097345175956,8,9.255600503381046,1,4,1,5,5,4.0,3,1.0,2005,2005,4,800.0,893.0,0.0,1.0,12.387977448827787
527108060,7.701652362642227,7,9.528866827722943,1,4,1,5,5,4.0,3,3.0,2005,2006,4,773.0,1700.0,60.0,6.0,12.641096555879884
527108070,7.465082736399548,9,9.608579434992608,1,5,2,5,5,5.0,3,4.0,2006,2007,5,758.0,1746.0,1320.0,6.0,12.841325847671216
527108090,7.611347717403621,7,10.054361440970256,1,4,1,5,5,5.0,3,1.0,2006,2006,4,422.0,868.0,0.0,1.0,12.523525876315125
527110020,7.295735072749282,7,9.051344640485723,1,3,1,4,5,4.0,3,1.0,1995,1996,3,400.0,384.0,0.0,1.0,12.034691028774553
527110080,7.293017679772782,6,9.537411412656336,1,3,0,4,6,4.0,3,3.0,1997,1997,3,388.0,794.0,182.0,6.0,12.083905011555967
527110120,7.377758908227872,6,9.079434102128383,1,3,1,4,5,4.0,3,3.0,1997,1997,3,460.0,916.0,0.0,1.0,12.037653993905213
527110130,7.232733136177615,6,9.090655529030203,1,3,1,4,5,4.0,3,1.0,1997,1997,3,390.0,384.0,0.0,1.0,11.992260421644847
527126030,7.409741954080922,8,8.58110651715989,1,5,0,5,5,4.0,3,3.0,2000,2000,4,499.0,1494.0,1196.0,6.0,12.43320821811392
527127100,7.832807516524864,8,8.895081531754169,1,4,1,5,5,5.0,3,3.0,2004,2005,4,564.0,2208.0,1965.0,6.0,12.834681304952548
527127140,7.373374309910048,8,8.5016733797582,1,5,1,5,5,5.0,3,3.0,2001,2002,4,682.0,1593.0,1153.0,6.0,12.563747089801991
527127150,7.1989312406881725,8,8.501063809486354,1,4,0,5,5,4.0,3,2.0,2001,2001,4,582.0,1338.0,616.0,6.0,12.271392111650815
527131030,7.413970290190443,8,8.641885635373555,1,5,1,5,5,4.0,3,1.0,2000,2000,4,499.0,1501.0,1158.0,6.0,12.535376392672775
527131110,7.427738840532895,8,8.74257423767064,1,4,1,5,5,5.0,3,2.0,1997,1997,4,528.0,1664.0,656.0,6.0,12.420780718023284
527132090,7.298445101508148,8,8.906528917594517,1,3,0,5,5,4.0,3,3.0,1998,1998,3,495.0,1418.0,341.0,6.0,12.388394202324125
527140090,7.1981835771019425,8,8.593227877692234,1,4,1,4,5,4.0,3,1.0,1993,1993,4,462.0,1337.0,733.0,6.0,12.100712129872349
527145080,7.154615356913662,8,8.518192691749322,1,4,0,5,5,4.0,3,1.0,1992,1992,4,506.0,1280.0,263.0,5.0,12.162643087602838
527145090,7.154615356913662,8,8.531096096585227,1,4,0,5,5,4.0,3,2.0,1992,1992,4,506.0,1280.0,0.0,1.0,12.100712129872349
527146010,7.458186157340487,8,8.98882050177807,1,4,0,5,5,4.0,3,1.0,1995,1996,4,528.0,1587.0,741.0,6.0,12.386308695833106
527146030,7.38770923908104,8,8.592115117933497,1,4,1,5,5,4.0,3,1.0,1995,1996,4,608.0,1595.0,1180.0,6.0,12.373703486914124
527146135,7.8961806086154915,8,9.480978009818703,1,4,0,5,5,4.0,3,1.0,1994,1994,4,618.0,2062.0,0.0,1.0,12.506177237980511
527158020,7.063903961472068,6,8.996651979432729,1,3,1,4,6,4.0,3,1.0,1993,1994,3,402.0,1160.0,705.0,6.0,12.11996994647676
527158090,7.434847875211999,6,9.224933374279082,1,3,1,4,5,4.0,3,1.0,1994,1994,3,398.0,392.0,186.0,2.0,11.982929094215965
527161010,7.38025578842646,6,9.29090601981575,1,3,1,5,5,4.0,3,1.0,1997,1998,3,470.0,926.0,0.0,1.0,12.106252310247962
527161040,7.2312870043276165,7,9.09638749190015,1,3,1,4,5,4.0,3,1.0,1998,1998,4,396.0,384.0,189.0,6.0,12.08672588789761
527161090,7.4465850991577245,6,9.063810579280288,1,3,1,4,5,4.0,3,1.0,1999,2000,3,451.0,923.0,871.0,5.0,12.100712129872349
527162080,7.347943823148688,7,8.971448463693834,1,4,0,4,5,4.0,3,1.0,1996,1996,4,420.0,691.0,414.0,3.0,12.093743460556256
527162090,7.1332959548960675,7,8.971448463693834,1,3,1,4,5,4.0,3,1.0,1995,1996,3,402.0,1237.0,0.0,1.0,12.078239274020287
527162110,7.4489161025442,7,9.224341891611996,1,3,1,4,5,4.0,3,1.0,1998,1998,3,427.0,832.0,0.0,1.0,12.128111104060464
527162120,7.400009517162693,6,8.922658299524402,1,3,1,4,5,4.0,3,1.0,1998,1999,4,440.0,952.0,476.0,6.0,12.160028707028768
527162130,7.497761700622568,7,8.922658299524402,1,4,1,4,5,3.0,3,1.0,1999,1999,3,442.0,994.0,0.0,1.0,12.14950229404178
527162140,7.7402295247631825,6,8.922658299524402,1,3,1,5,5,4.0,3,1.0,1999,2003,3,482.0,938.0,0.0,1.0,12.225875272826354
527162180,7.398174092970465,6,9.322239464473592,1,3,1,4,5,4.0,3,1.0,1998,1998,3,460.0,932.0,0.0,1.0,12.117241431823556
527163010,7.4115562878111625,6,9.210340371976184,1,3,1,4,5,4.0,3,1.0,1993,1994,3,440.0,763.0,0.0,1.0,12.077670930725649
527163020,7.313886831633463,6,8.947025655972698,1,4,1,4,5,4.0,3,1.0,1993,1994,3,420.0,697.0,518.0,5.0,12.017330520933294
527163040,7.359467638255621,6,8.966611387052865,1,3,1,4,7,4.0,3,1.0,1993,1994,4,380.0,799.0,0.0,1.0,12.089538829274224
527163070,7.293017679772782,6,9.186559843310777,1,3,1,4,8,4.0,3,1.0,1993,1993,5,420.0,680.0,310.0,5.0,12.128111104060464
527163080,7.079184394609668,7,9.164924508445699,1,4,0,4,5,4.0,3,1.0,1992,1993,3,420.0,1168.0,0.0,1.0,11.982929094215965
527163100,7.41336733569524,6,8.987196820661973,1,3,1,4,5,4.0,3,1.0,1995,1996,3,431.0,773.0,219.0,6.0,12.144197241812089
527163130,7.323830566202317,6,9.082847851460906,1,4,1,4,5,4.0,3,1.0,1994,1995,3,409.0,707.0,600.0,6.0,12.10799664436583
527164020,7.0817085861055755,6,8.88875674784872,1,4,1,5,5,4.0,3,1.0,1993,1993,3,430.0,1181.0,0.0,1.0,12.019743067338679
527164060,7.373374309910048,6,9.173261363734762,1,3,1,4,5,4.0,3,1.0,1992,1993,3,389.0,808.0,0.0,1.0,12.089538829274224
527164090,7.300472814267799,6,9.002701007197938,1,3,1,4,5,4.0,3,1.0,1994,1995,3,343.0,702.0,0.0,1.0,12.066810578196664
527164120,7.546974117516527,7,9.290259995152056,1,4,1,5,5,4.0,3,1.0,1994,1996,4,409.0,712.0,0.0,1.0,12.178187442040636
527165010,7.443663683115591,6,9.551586907757695,1,4,0,4,5,4.0,3,1.0,1991,1991,3,416.0,836.0,504.0,5.0,12.128111104060464
527165020,7.294377299288821,7,9.285818833152089,1,4,1,4,5,4.0,3,1.0,1991,1992,4,402.0,384.0,0.0,1.0,11.982929094215965
527165100,7.301147805856032,7,9.118773178450693,1,4,1,4,5,4.0,3,1.0,1992,1992,3,392.0,384.0,0.0,1.0,12.007011764731919
527165130,7.062191632286557,6,9.13216259091216,1,4,0,4,6,4.0,3,1.0,1992,1992,3,400.0,1158.0,560.0,6.0,12.061046873479915
527165170,7.403670290012371,6,8.943114308091785,1,3,1,4,5,4.0,3,1.0,1993,1994,3,392.0,903.0,0.0,1.0,12.031719258385394
527165230,7.079184394609668,6,8.984693690443855,1,3,0,5,7,4.0,3,1.0,1992,2007,3,420.0,1168.0,935.0,5.0,12.128111104060464
527166010,7.592366128519796,7,9.283776690049363,1,4,1,5,5,4.0,3,1.0,1999,1999,4,490.0,978.0,694.0,6.0,12.323855681186556
527166030,7.397561535524052,7,9.114269903225447,1,3,1,4,5,4.0,3,1.0,1998,1998,3,462.0,935.0,0.0,1.0,12.08107615535549
527166040,7.289610521451168,6,9.036225051729328,1,3,1,4,5,4.0,3,1.0,1998,1998,3,393.0,789.0,0.0,1.0,12.10293188661066
527175130,7.0282014320580055,6,9.806976652155283,1,3,1,2,6,3.0,2,3.0,1964,1964,3,480.0,1302.0,550.0,4.0,11.946031680112146
527180040,7.201170883281678,7,9.227787285579904,1,4,1,4,5,4.0,3,4.0,1990,1990,3,506.0,1300.0,637.0,6.0,12.052338545588134
527180100,7.273786317844895,7,9.380167531188448,1,3,0,5,5,4.0,3,1.0,1990,1990,3,500.0,1424.0,0.0,1.0,12.103486056755074
527182020,7.093404625868766,8,8.216358332386156,1,3,0,3,5,4.0,3,1.0,1987,1987,3,461.0,1191.0,0.0,1.0,11.77528972943772
527182040,6.992096427415887,8,8.215006432761575,1,4,0,5,5,4.0,3,1.0,1986,1986,4,461.0,1074.0,0.0,1.0,12.0435537160324
527182170,7.644919344958858,7,8.529516941105069,1,4,1,4,5,4.0,3,2.0,1984,1984,4,577.0,1190.0,828.0,6.0,12.24288661865289
527182190,7.314552832324081,8,8.827614750837506,1,4,0,3,5,4.0,3,3.0,1985,1985,4,528.0,1488.0,368.0,6.0,12.264341553654152
527183030,7.1131421087070885,8,8.449128460502108,1,4,1,4,5,4.0,3,2.0,1988,1989,4,472.0,1228.0,767.0,6.0,12.14950229404178
527183060,7.1981835771019425,8,8.691146498539675,1,4,1,4,5,4.0,3,4.0,1989,1989,4,462.0,1337.0,319.0,6.0,12.146853285870204
527184020,7.072421900537372,8,8.463792414689122,1,3,0,4,5,4.0,3,4.0,1988,1988,4,480.0,1166.0,248.0,6.0,12.111761966058932
527184110,7.186144304522325,8,8.540519016719736,1,4,1,4,5,4.0,3,4.0,1990,1990,4,484.0,1312.0,926.0,6.0,12.264341553654152
527190050,7.477038472319696,7,8.576593534697684,1,4,1,4,7,4.0,3,1.0,1987,1987,4,504.0,1064.0,495.0,6.0,12.384218830913648
527190220,7.4627891574124465,8,8.789203094473724,1,4,1,3,5,4.0,3,4.0,1985,1985,4,564.0,1742.0,1148.0,6.0,12.524526376648707
527208010,7.824046010856294,8,9.513625087655372,1,5,1,5,5,5.0,3,4.0,2005,2005,4,683.0,1168.0,16.0,6.0,12.779873068457553
527210050,7.813187267521416,9,9.416703923250378,1,4,1,5,5,5.0,3,4.0,2006,2006,4,675.0,1094.0,205.0,6.0,12.783761274226782
527210060,7.561121589530237,9,9.557964480394498,1,4,1,5,5,5.0,3,4.0,2005,2006,4,676.0,1922.0,1249.0,6.0,12.841129801965446
527212040,7.853993087224244,8,9.428511581663834,1,5,1,5,5,5.0,3,1.0,2006,2006,5,666.0,1234.0,0.0,1.0,12.799175708864519
527212050,7.825644732219988,9,9.32349046990884,1,5,1,5,5,4.0,3,1.0,2005,2007,4,656.0,1122.0,0.0,1.0,12.691580461311874
527212060,7.840312983320164,8,9.419628376999952,1,5,1,5,5,5.0,3,2.0,2005,2005,4,729.0,1149.0,986.0,6.0,12.763586225373725
527214030,7.541152455136308,9,9.642187721358468,1,5,1,5,5,5.0,3,4.0,2004,2004,5,670.0,1884.0,1337.0,6.0,12.866179972011919
527214060,7.900266036767701,10,9.683588731386807,1,5,1,5,5,5.0,3,1.0,2006,2006,5,736.0,1850.0,1206.0,6.0,13.190022025878145
527216070,8.095293776844649,8,10.887511696444372,1,5,1,5,5,4.0,3,4.0,2003,2003,5,841.0,1650.0,1416.0,5.0,13.195613839143922
527216080,7.7570511420320125,9,10.85849887252188,1,4,2,5,5,5.0,3,3.0,2006,2007,5,1110.0,2660.0,1101.0,6.0,13.290564035270377
527225035,7.468513271496338,8,9.403766708502244,1,3,0,4,7,4.0,3,3.0,1988,2005,4,492.0,559.0,427.0,6.0,12.007621706806335
527226010,7.749322464660356,5,9.599811590329997,1,3,1,4,6,0.0,2,0.0,1948,1950,3,672.0,0.0,0.0,0.0,12.037653993905213
527226020,7.295735072749282,6,10.348814194069424,1,3,2,3,2,3.0,3,1.0,1952,1952,3,495.0,1632.0,0.0,1.0,11.652687407345386
527226040,7.26122509197192,5,10.635855446249355,1,3,0,3,5,4.0,1,4.0,1969,1990,3,828.0,1100.0,1047.0,5.0,11.951180395901384
527250040,6.962243464266208,5,10.453053004618047,0,3,0,3,5,3.0,3,2.0,1955,1955,3,572.0,1056.0,1056.0,3.0,11.884489021402711
527252050,7.385230923066572,9,8.991562278171614,1,5,1,5,5,5.0,3,4.0,2006,2006,4,556.0,1612.0,797.0,6.0,12.675763725937607
527252070,7.257707677160043,8,8.998260393017954,1,4,1,5,6,4.0,3,3.0,2007,2007,4,567.0,1419.0,945.0,6.0,12.8790171187726
527252080,7.444248649496705,9,9.001839097398841,1,5,1,5,5,5.0,3,4.0,2007,2007,5,557.0,1710.0,1034.0,6.0,12.718896271958835
527252090,7.4465850991577245,9,9.005405040310643,1,4,1,5,5,5.0,3,4.0,2005,2005,4,517.0,1714.0,1191.0,6.0,12.669806661762314
527254020,7.6236419465115715,8,9.379576689221482,1,4,1,5,5,5.0,3,2.0,2008,2008,4,834.0,2046.0,0.0,1.0,12.827992316801753
527256030,7.711548979629147,8,9.552652665079078,1,4,1,5,5,5.0,3,4.0,2006,2006,4,724.0,2220.0,1558.0,6.0,12.998904514672732
527256040,7.621684998724611,10,9.537483513308876,1,5,1,5,5,5.0,3,4.0,2006,2007,5,724.0,1742.0,1152.0,6.0,13.028052697933088
527256120,7.600902459542082,9,9.812522917162037,1,5,2,5,5,5.0,3,4.0,2005,2005,5,722.0,1910.0,1416.0,6.0,13.06048797368624
527258010,7.526178913346146,9,9.34084218004034,1,5,1,5,2,5.0,3,3.0,2010,2010,4,834.0,1856.0,1445.0,6.0,12.885202034321914
527258020,7.333023014386481,7,9.690170562039654,1,4,1,5,5,5.0,3,3.0,2005,2005,4,430.0,1530.0,1274.0,5.0,12.468436909997664
527276040,7.305188215393037,6,10.76384265207998,1,3,1,4,5,3.0,3,1.0,1950,1950,3,738.0,1488.0,0.0,1.0,11.79810440720389
527276150,6.761572768804054,4,9.859431166339206,1,3,0,5,5,3.0,3,1.0,1951,1951,3,400.0,864.0,120.0,2.0,11.856515169360303
527276160,7.5673456760132405,5,9.384293679099619,1,3,1,5,6,4.0,2,1.0,1977,1977,3,567.0,1122.0,400.0,5.0,12.128111104060464
527301010,7.390798521735675,7,9.557116483735667,1,4,0,5,7,4.0,3,2.0,1984,1998,4,440.0,1208.0,213.0,5.0,12.218495165528731
527301080,7.2723983925700475,6,9.437157168656688,1,4,1,5,7,4.0,3,1.0,1981,1981,4,467.0,1440.0,678.0,4.0,12.116694834378958
527301170,7.646353722445999,7,9.930324206489686,1,3,1,4,6,4.0,3,1.0,1986,1991,3,542.0,791.0,0.0,1.0,12.278393307109802
527301245,7.431299675155902,7,9.447781227991218,1,5,1,5,6,4.0,3,2.0,1988,1988,4,528.0,1675.0,983.0,6.0,12.330500223905224
527301320,7.763446388727362,7,9.473089177882752,1,5,1,3,7,4.0,3,1.0,1980,1980,4,484.0,845.0,692.0,6.0,12.468436909997664
527302020,7.532623618788787,6,9.400133943608838,1,3,1,5,7,4.0,3,1.0,1984,2003,3,477.0,585.0,0.0,1.0,12.089538829274224
527302050,7.259819610363187,6,9.400133943608838,1,4,1,3,6,4.0,3,1.0,1981,1981,3,576.0,1422.0,588.0,6.0,12.075394321888055
527302060,7.2991214627108,7,9.400133943608838,1,4,1,5,7,4.0,3,1.0,1981,2003,4,484.0,725.0,321.0,5.0,12.078239274020287
527302070,7.138866999945524,7,9.289613552870689,1,3,0,3,7,4.0,3,2.0,1983,1983,4,598.0,1260.0,747.0,6.0,12.111212364506214
527302080,7.688455356549944,7,9.535101442669383,1,4,0,4,5,4.0,3,1.0,1988,1988,4,786.0,1204.0,1002.0,6.0,12.341477282536376
527302090,7.416979621381153,7,9.41727323724241,1,4,1,3,6,4.0,3,1.0,1978,1985,3,663.0,1529.0,1328.0,6.0,12.269047444691562
527302110,7.6367521124357785,6,9.486076373409565,1,3,2,3,6,4.0,3,1.0,1978,1988,3,500.0,1542.0,790.0,5.0,12.254862809699604
527302175,7.368970402194793,6,9.743494841225237,1,3,1,3,5,4.0,3,1.0,1979,1998,3,435.0,1362.0,0.0,1.0,12.106252310247962
527302185,7.632401126601453,7,9.828710125578304,1,4,2,3,5,4.0,3,1.0,1978,1978,4,550.0,2048.0,1206.0,6.0,12.367340793126294
527302210,7.485491608030754,7,9.57844969354058,1,4,1,3,5,4.0,3,1.0,1979,1979,4,551.0,1782.0,864.0,5.0,12.3013828253345
527325070,7.962763930168115,6,9.41140190014419,1,3,1,3,7,4.0,3,1.0,1977,1995,3,619.0,1330.0,896.0,5.0,12.513557345278134
527325090,7.5652752818989315,7,9.33600338997184,1,4,1,3,5,4.0,3,1.0,1979,1979,3,481.0,780.0,758.0,5.0,12.165250651009917
527325110,7.585281078639126,7,9.388653907372598,1,3,1,3,6,4.0,3,1.0,1977,1977,3,534.0,808.0,0.0,1.0,12.154779351142626
527325160,7.724446645633536,7,9.720705889909716,1,4,1,2,7,3.0,3,1.0,1977,1994,3,539.0,795.0,795.0,5.0,12.367340793126294
527325240,7.099201743553093,6,9.477921772720961,1,4,1,3,5,4.0,3,1.0,1976,1976,3,461.0,1211.0,890.0,5.0,11.989159643966598
527326040,7.2520539518528135,7,9.384293679099619,1,3,1,3,5,3.0,3,1.0,1977,1977,3,544.0,1386.0,822.0,5.0,11.320553572322774
527326130,7.026426808699637,5,9.655731072956666,1,5,0,3,6,4.0,3,3.0,1977,1977,3,540.0,1126.0,767.0,5.0,12.072541252905653
527326150,7.379008127628304,6,9.719264188452577,1,4,1,4,7,4.0,3,1.0,1977,2000,4,529.0,1602.0,1246.0,5.0,12.278393307109802
527327050,7.615791072035832,6,9.396487933603666,1,4,1,3,6,3.0,3,1.0,1976,1976,3,551.0,848.0,156.0,2.0,12.180754837545884
527327080,7.361375428977347,6,9.841612148818038,1,3,1,3,5,4.0,3,2.0,1976,1976,3,566.0,796.0,712.0,6.0,12.154779351142626
527328010,7.0048819897128585,6,9.255696073696981,1,3,1,3,6,4.0,3,3.0,1980,1980,3,582.0,988.0,850.0,6.0,12.037653993905213
527328020,6.939253946041508,6,9.249080200292113,1,3,1,3,6,4.0,3,3.0,1978,1978,3,564.0,1032.0,605.0,5.0,11.904967552746253
527328050,7.0707241072602764,6,9.380083146563278,1,4,0,3,6,4.0,3,1.0,1984,1984,3,495.0,1153.0,781.0,5.0,11.928340903931561
527352150,7.625595072132453,7,9.491752831414367,1,4,1,3,6,4.0,3,1.0,1978,1978,3,529.0,832.0,0.0,1.0,11.944707881395766
527353020,7.4211775285953925,6,9.299083581810569,1,3,1,3,6,3.0,3,1.0,1978,1986,3,484.0,1427.0,363.0,2.0,12.206072645530176
527353060,7.890956716138918,7,9.424483541093092,1,4,1,3,7,4.0,3,1.0,1980,1991,3,441.0,1043.0,602.0,5.0,12.425208175446846
527353080,7.45298232946546,7,9.357380114625498,1,3,1,3,6,3.0,3,1.0,1979,1979,3,550.0,539.0,315.0,6.0,12.190959007720124
527354040,7.534762657037537,7,9.249561085129463,1,3,1,4,5,4.0,3,3.0,1988,1988,3,604.0,1845.0,929.0,6.0,12.394624752074765
527354050,7.210079628170787,6,9.249561085129463,1,3,1,5,5,4.0,3,1.0,1979,1999,3,478.0,1259.0,903.0,6.0,12.16707190818044
527354100,7.294377299288821,7,9.55499334068759,1,3,2,3,5,4.0,3,3.0,1980,1980,3,588.0,1372.0,1036.0,6.0,12.141534124392605
527354160,7.622663951323595,7,9.249561085129463,1,3,1,3,6,4.0,3,2.0,1980,1988,3,489.0,738.0,0.0,1.0,12.128111104060464
527354200,7.442492722794441,6,9.313618721429684,1,3,1,4,5,3.0,3,1.0,1978,1998,3,479.0,1140.0,832.0,5.0,12.122691036591124
527355060,7.526717561352706,7,9.26198360512802,1,3,1,3,5,3.0,3,1.0,1978,1978,3,482.0,945.0,0.0,1.0,12.1489730534896
527355150,7.833600223661103,8,9.169518377455928,1,4,1,3,5,4.0,3,1.0,1981,1981,4,542.0,2524.0,1104.0,5.0,12.535376392672775
527355280,7.430114138561801,6,9.234056898593499,1,3,1,3,6,4.0,3,1.0,1980,1980,3,612.0,1686.0,625.0,4.0,12.24288661865289
527356020,7.931644021454312,7,9.722684841711443,1,4,2,3,5,4.0,3,1.0,1978,1978,3,564.0,1392.0,790.0,4.0,12.429216196844385
527356050,7.390181428226429,5,9.286653054825347,1,3,0,5,5,3.0,3,1.0,1969,1969,3,462.0,780.0,493.0,3.0,11.931635799828413
527356060,7.3472997007431635,6,9.347926034928744,1,3,1,3,6,4.0,3,1.0,1975,1975,3,434.0,713.0,550.0,5.0,12.100156419938624
527357020,7.106606137727303,6,9.472781556562168,1,3,1,3,5,3.0,3,2.0,1971,1971,3,944.0,1625.0,492.0,5.0,12.0435537160324
527357110,7.176254532017144,5,9.184304357425342,1,3,0,4,6,3.0,3,1.0,1969,1969,3,484.0,720.0,280.0,4.0,11.897507362161967
527357180,7.951559331155252,7,9.4343635363174,1,4,2,5,7,4.0,3,1.0,1978,1978,4,1314.0,1420.0,988.0,5.0,12.586219945654051
527358060,7.302496423727327,5,9.412709624073916,1,3,1,4,6,4.0,3,3.0,1971,1971,3,487.0,1484.0,998.0,5.0,12.072541252905653
527358090,6.987490247000991,7,9.203013596589722,1,3,1,3,5,5.0,3,4.0,1976,1976,4,596.0,1047.0,1005.0,6.0,12.055249755795591
527358140,7.5196924041165385,6,9.37169362233394,1,3,1,5,6,4.0,3,1.0,1977,1977,3,546.0,1844.0,705.0,4.0,12.154779351142626
527359010,7.463363045520022,6,9.367344120785848,1,3,1,4,6,3.0,3,1.0,1968,1968,4,539.0,702.0,384.0,5.0,12.072541252905653
