PID,Unnamed: 0,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Prop_Addr,longitude,latitude,addy,coords,univ_dist
528186170,11,1342,219500,120,RL,48.0,6240,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,0.0,1318.0,1342.0,GasA,Ex,Y,SBrkr,1342,0,0,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007.0,RFn,2.0,550.0,TA,TA,Y,0,35,0,0,0,0,,,,0,2,2008,WD ,Normal,3629 CHILTON AVE,none,none,none,"('none', 'none')",
923426070,12,1274,136000,60,RL,63.0,10475,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,458.0,Unf,0.0,166.0,624.0,GasA,Gd,Y,SBrkr,624,650,0,0.0,0.0,1,1,3,1,TA,6,Typ,0,,Detchd,1993.0,Unf,2.0,576.0,TA,TA,Y,22,0,0,0,0,0,,GdWo,,0,3,2010,WD ,Normal,700 KEN MARIL RD,-93.60213991860324,41.98649987838884,"700, Ken Maril Road, Ames, Story County, Iowa, 50010, United States","('41.98649987838884', '-93.60213991860324')",5.856102101996372
902204080,13,861,80000,30,RM,62.0,7404,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,861.0,861.0,GasA,TA,Y,SBrkr,861,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1920.0,Unf,2.0,288.0,TA,TA,N,0,0,128,0,0,0,,,,0,11,2009,Oth,Normal,1102 CARROLL AVE,-93.6087965510204,42.03216732653061,"1102, Carroll Avenue, Sunrise, Ames, Story County, Iowa, 50010, United States","('42.03216732653061', '-93.6087965510204')",3.3652471252466194
535105100,14,1394,159000,20,RL,,9500,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609.0,Unf,0.0,785.0,1394.0,GasA,Gd,Y,SBrkr,1394,0,0,1.0,0.0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1963.0,RFn,2.0,514.0,TA,TA,Y,0,76,0,0,185,0,,,,0,7,2009,WD ,Normal,2519 KELLOGG AVE,-93.61572103026556,42.04690161396658,"2519, Kellogg Avenue, Broadmoor, Ames, Story County, Iowa, 50010, United States","('42.04690161396658', '-93.61572103026556')",3.5654130124995724
907405020,15,1536,214000,20,RL,70.0,9135,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810.0,Unf,0.0,726.0,1536.0,GasA,Ex,Y,SBrkr,1536,0,0,1.0,0.0,2,0,3,1,Gd,7,Typ,0,,Attchd,2002.0,RFn,2.0,532.0,TA,TA,Y,192,74,0,0,0,0,,,,0,12,2008,WD ,Normal,812 TENNYSON AVE,-93.68765221212121,42.01590809090909,"812, Tennyson Avenue, Longview, Ames, Story County, Iowa, 50014, United States","('42.01590809090909', '-93.68765221212121')",3.4277585127848247
531382110,16,1680,163000,60,RL,50.0,8480,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,602.0,Unf,0.0,284.0,886.0,GasA,Ex,Y,SBrkr,886,794,0,0.0,1.0,2,1,3,1,Gd,7,Typ,0,,Attchd,1993.0,RFn,2.0,474.0,TA,TA,Y,144,96,0,0,0,0,,,,0,10,2008,WD ,Normal,5220 MARYLAND ST,-93.68920687419867,42.03586941394644,"5220, Maryland Street, Brookview Place, Ontario, Ames, Story County, Iowa, 50014, United States","('42.03586941394644', '-93.68920687419867')",3.5265350398290396
906380120,17,1274,203000,20,RL,68.0,8814,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925.0,Unf,0.0,349.0,1274.0,GasA,Ex,Y,SBrkr,1274,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,2005.0,RFn,2.0,508.0,TA,TA,Y,264,98,0,0,0,0,,,,0,1,2007,New,Partial,319 HARTFORD DR,-93.68911130789053,42.02481975297594,"319, Hartford Drive, Sunset Ridge, Ames, Story County, Iowa, 50014, United States","('42.02481975297594', '-93.68911130789053')",3.3552941310174456
909101060,18,864,67000,30,RL,45.0,8248,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,41.0,Unf,0.0,823.0,864.0,GasA,TA,N,FuseF,864,0,0,1.0,0.0,1,0,2,1,TA,5,Typ,0,,,,,0.0,0.0,,,N,0,0,100,0,0,0,,,,0,9,2008,WD ,Normal,2910 WOOD ST,-93.65692684113985,42.02208247765018,"2910, Wood Street, Ames, Story County, Iowa, 50014, United States","('42.02208247765018', '-93.65692684113985')",0.8253535381640339
534152050,19,1610,205000,20,RL,,10603,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,1200.0,Unf,0.0,410.0,1610.0,GasA,Gd,Y,SBrkr,1610,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1977.0,RFn,2.0,480.0,TA,TA,Y,168,68,0,0,0,0,,,,0,2,2010,WD ,Normal,2102 PRAIRIE VIEW EAST,-93.63727919577093,42.04331646337044,"2102, Prairie View East, Prairie View, Ames, Story County, Iowa, 50010, United States","('42.04331646337044', '-93.63727919577093')",2.1202130513871866
923252075,20,1091,131250,80,RL,62.0,7706,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,114.0,GLQ,270.0,0.0,384.0,GasA,Ex,Y,SBrkr,1091,0,0,0.0,1.0,1,0,2,1,TA,5,Typ,0,,Attchd,1993.0,Fin,1.0,429.0,TA,TA,Y,280,0,0,0,0,0,,,Shed,700,8,2009,WD ,Normal,424 TEAGARDEN DR,-93.60618059595959,41.98752773737374,"424, Teagarden Drive, Ames, Story County, Iowa, 50010, United States","('41.98752773737374', '-93.60618059595959')",5.552723102996756
531376060,21,1486,181000,20,RL,65.0,7441,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1461.0,1461.0,GasA,Ex,Y,SBrkr,1486,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,,Attchd,2006.0,RFn,2.0,566.0,TA,TA,Y,0,32,0,0,0,0,,,,0,6,2007,WD ,Normal,1514 CALIFORNIA AVE,-93.691149759933,42.037556920296716,"1514, California Avenue, Brookview Place, Ames, Story County, Iowa, 50014, United States","('42.037556920296716', '-93.691149759933')",3.7390283392026964
902201120,22,789,115000,20,RM,50.0,6000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,104.0,BLQ,169.0,516.0,789.0,GasA,Ex,Y,SBrkr,789,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1948.0,Unf,1.0,250.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2008,WD ,Partial,1216 CARROLL AVE,-93.6088355510204,42.03351832653061,"1216, Carroll Avenue, Sunrise, Ames, Story County, Iowa, 50010, United States","('42.03351832653061', '-93.6088355510204')",3.3947702713599193
923228080,23,1092,98000,160,RM,21.0,1477,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,358.0,Unf,0.0,188.0,546.0,GasA,Ex,Y,SBrkr,546,546,0,0.0,0.0,2,1,3,1,TA,6,Typ,0,,,,,0.0,0.0,,,Y,187,0,0,0,0,0,,,,0,3,2008,WD ,Normal,626 MEADOW PL,-93.60276791626312,41.99228574317098,"626, Meadow Place, Ames, Story County, Iowa, 50010, United States","('41.99228574317098', '-93.60276791626312')",5.35148200537019
902326030,24,2640,265979,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,Unf,0.0,1240.0,1240.0,GasW,TA,N,SBrkr,1320,1320,0,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1950.0,Unf,4.0,864.0,TA,TA,N,181,0,386,0,0,0,,,,0,5,2009,WD ,Normal,829 DOUGLAS AVE,-93.61228857142856,42.02935814285714,"829, Douglas Avenue, Ames, Story County, Iowa, 50010, United States","('42.02935814285714', '-93.61228857142856')",3.0306732772655374
527451330,25,1092,105500,160,RM,21.0,1680,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0,0.0,0.0,1,1,3,1,TA,6,Typ,0,,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2010,WD ,Normal,1342 BARKLEY CT,-93.62760442259349,42.051676299375686,"1342, Barkley Court, Briardale Square, Ames, Story County, Iowa, 50010, United States","('42.051676299375686', '-93.62760442259349')",3.321885909349593
528218100,26,1458,168165,60,RL,58.0,13204,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,608.0,608.0,GasA,Ex,Y,SBrkr,608,850,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,BuiltIn,2007.0,Fin,2.0,454.0,TA,TA,Y,100,33,0,0,0,0,,,,0,5,2007,New,Partial,4205 CRESTMOOR AVE,-93.64514075104287,42.06183478929063,"4205, Crestmoor Avenue, Bloomington Heights West, Ames, Story County, Iowa, 50010, United States","('42.06183478929063', '-93.64514075104287')",3.967584521887571
916386140,27,1466,201000,20,RL,73.0,8925,Pave,,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1450.0,1466.0,GasA,Ex,Y,SBrkr,1466,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007.0,Fin,3.0,610.0,TA,TA,Y,100,18,0,0,0,0,,,,0,7,2009,WD ,Normal,3028 COTTONTAIL LN,-93.650374,41.994931209457846,"3028, Cottontail Lane, Ringgenberg Park, Ames, Story County, Iowa, 50014, United States","('41.994931209457846', '-93.650374')",3.4772124450864172
533221090,28,1573,177500,160,FV,,2117,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,378.0,Unf,0.0,378.0,756.0,GasA,Ex,Y,SBrkr,769,804,0,0.0,0.0,2,1,3,1,Gd,5,Typ,0,,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,32,0,0,0,0,,,,0,6,2010,WD ,Normal,2711 HAMPTON ST,-93.64673497939646,42.046175343583606,"2711, Hampton Street, Ames, Story County, Iowa, 50010, United States","('42.046175343583606', '-93.64673497939646')",2.2232334541991
534128010,29,2090,200000,60,RL,,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107,983,0,1.0,0.0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,235,204,228,0,0,0,,,Shed,350,11,2009,WD ,Normal,1636 JOHNSON ST,-93.63264578650906,42.04903420384354,"1636, Johnson Street, Parkview Heights;, Ames, Story County, Iowa, 50010, United States","('42.04903420384354', '-93.63264578650906')",2.860249114040652
528106110,30,2046,450000,20,RL,105.0,15431,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430.0,Unf,0.0,564.0,1994.0,GasA,Ex,Y,SBrkr,2046,0,0,1.0,0.0,2,1,2,1,Ex,7,Typ,2,Gd,Attchd,2005.0,Fin,3.0,878.0,TA,TA,Y,188,65,0,0,175,0,,,,0,8,2007,WD ,Normal,3331 WESTON DR,-93.6568043437672,42.06135122133348,"3331, Weston Drive, Northridge Heights, Ames, Story County, Iowa, 50010, United States","('42.06135122133348', '-93.6568043437672')",3.961378531969354
902206260,31,886,91300,30,RM,50.0,5784,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,190.0,190.0,GasA,Gd,Y,FuseA,886,0,0,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Attchd,1938.0,Unf,1.0,273.0,TA,TA,Y,144,20,80,0,0,0,,,,0,12,2009,WD ,Normal,926 DUFF AVE,-93.61045453926471,42.03109366137248,"926, Duff Avenue, Ames, Story County, Iowa, 50010, United States","('42.03109366137248', '-93.61045453926471')",3.2084624149068692
528222090,32,1258,173500,20,RL,64.0,7697,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1246.0,1246.0,GasA,Ex,Y,SBrkr,1258,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,2007.0,RFn,2.0,462.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2007,New,Partial,4302 WELBECK DR,-93.64433362330249,42.06322648533865,"4302, Welbeck Drive, Bloomington Heights West, Ames, Story County, Iowa, 50010, United States","('42.06322648533865', '-93.64433362330249')",4.1270043690500735
528218150,33,1324,199500,20,RL,100.0,18494,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,1324.0,GasA,Ex,Y,SBrkr,1324,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,2005.0,Fin,2.0,430.0,TA,TA,Y,36,23,0,0,0,0,,,,0,1,2010,WD ,Normal,4103 CRESTMOOR AVE,-93.64609380939285,42.06273418076429,"4103, Crestmoor Avenue, Bloomington Heights West, Ames, Story County, Iowa, 50010, United States","('42.06273418076429', '-93.64609380939285')",4.062365581381309
903400180,34,1848,207000,50,RL,64.0,13053,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,833.0,833.0,GasA,Gd,Y,SBrkr,1053,795,0,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1922.0,Unf,2.0,370.0,TA,TA,N,0,0,0,0,220,0,,,,0,6,2008,WD ,Normal,816 BROOKRIDGE AVE,-93.62737676136398,42.02954372815348,"816, Brookridge Avenue, Ridgewood, Ames, Story County, Iowa, 50010, United States","('42.02954372815348', '-93.62737676136398')",1.799418233244118
535453210,35,1269,155000,20,RL,70.0,7931,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,374.0,LwQ,532.0,363.0,1269.0,GasA,TA,Y,FuseA,1269,0,0,0.0,0.0,1,1,3,1,TA,6,Typ,1,Fa,Detchd,1964.0,Unf,1.0,308.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2008,WD ,Normal,1522 MAXWELL AVE,-93.60675880919582,42.037273779743664,"1522, Maxwell Avenue, Crestwood, Ames, Story County, Iowa, 50010, United States","('42.037273779743664', '-93.60675880919582')",3.67944920335716
