PID,GrLivArea_Log,SalePrice_Log,MSSubClass,MSZoning,LotFrontage,LotArea_Log,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalBath,ISU_dist
526355190,7.7039102096163115,12.498742259492994,20,RL,95.0,9.671870704017296,Pave,None,IR1,Lvl,AllPub,Inside,Mod,NAmes,Norm,1Fam,1Story,8,6,1970,1970,Flat,Tar&Grv,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,PConc,TA,Gd,Gd,ALQ,351.0,Rec,823.0,1043.0,2217.0,GasA,Ex,Y,SBrkr,2217,0,0,2,4,1,Gd,8,Typ,1,Attchd,Unf,2.0,TA,Y,81,207,0,0,224,0,None,0,10,2007,WD ,Normal,3.0,3.7328543130000003
527105010,7.395721608602045,12.154252896800378,60,RL,74.0,9.534595424658804,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,0.0,137.0,928.0,GasA,Gd,Y,SBrkr,928,701,0,2,3,1,TA,6,Typ,1,Attchd,Fin,2.0,TA,Y,212,34,0,0,0,0,MnPrv,0,3,2010,WD ,Normal,2.5,3.892534675
527105030,7.38025578842646,12.183315658407558,60,RL,78.0,9.208137948420983,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,TA,TA,PConc,TA,TA,No,GLQ,602.0,Unf,0.0,324.0,926.0,GasA,Ex,Y,SBrkr,926,678,0,2,3,1,Gd,7,Typ,1,Attchd,Fin,2.0,TA,Y,360,36,0,0,0,0,None,0,6,2010,WD ,Normal,2.5,3.903718065
527105050,7.38025578842646,12.141534124392603,60,RL,72.0,9.071308163280625,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,BLQ,706.0,Unf,0.0,220.0,926.0,GasA,Ex,Y,SBrkr,926,678,0,2,3,1,TA,7,Typ,1,Attchd,Fin,2.0,TA,Y,0,36,0,0,0,0,None,0,4,2008,WD ,Normal,2.5,3.978738116
527105060,7.329749689041512,12.119969946476761,60,RL,60.0,9.016512874996026,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,700.0,Unf,0.0,113.0,813.0,GasA,Ex,Y,SBrkr,813,712,0,2,3,1,TA,6,Typ,1,Attchd,Fin,2.0,TA,Y,421,72,0,0,0,0,None,0,5,2006,WD ,Normal,3.5,3.9832121189999996
527105070,7.382746449738912,12.152144303504619,60,RL,88.0,9.22808205345234,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,847.0,Unf,0.0,98.0,945.0,GasA,Ex,Y,SBrkr,945,663,0,2,3,1,TA,7,Typ,1,Attchd,Fin,2.0,TA,Y,252,30,0,0,0,0,None,0,7,2009,WD ,Normal,2.5,3.8274731980000003
527105130,7.733245646529795,12.506177237980511,60,RL,68.47022684310019,9.375176614429117,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,8,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,188.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,850.0,Unf,0.0,158.0,1008.0,GasA,Ex,Y,SBrkr,1008,1275,0,2,4,1,Gd,9,Typ,1,BuiltIn,Fin,3.0,TA,Y,120,46,0,0,0,0,None,0,8,2009,WD ,Normal,2.5,3.9070834239999996
527105140,7.457609289715606,12.323855681186558,60,RL,68.47022684310019,9.424967763522053,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,0.0,847.0,847.0,GasA,Ex,Y,SBrkr,847,886,0,2,3,1,Gd,7,Typ,1,BuiltIn,Fin,2.0,TA,Y,100,48,0,0,0,0,None,0,10,2007,WD ,Family,2.5,3.9117614960000004
527106010,7.71244383427499,12.310432660854417,60,RL,68.47022684310019,9.473166068429098,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,2Story,7,5,1997,1997,Gable,CompShg,HdBoard,HdBoard,BrkFace,285.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,964.0,964.0,GasA,Gd,Y,SBrkr,993,1243,0,2,4,1,Gd,8,Typ,1,BuiltIn,Fin,2.0,TA,Y,0,0,0,0,0,0,None,0,11,2006,WD ,Normal,2.5,4.019546507
527106050,7.293017679772782,12.013700752882718,60,RL,65.0,9.004422601327041,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,119.0,TA,TA,PConc,Gd,TA,No,ALQ,476.0,Unf,0.0,204.0,680.0,GasA,Gd,Y,SBrkr,680,790,0,2,3,1,TA,7,Typ,1,BuiltIn,Fin,2.0,TA,Y,192,49,0,0,0,0,None,0,10,2008,WD ,Normal,2.5,3.946440576
527106140,7.38025578842646,12.183315658407558,60,RL,59.0,9.16272451803452,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,851.0,Unf,0.0,75.0,926.0,GasA,Ex,Y,SBrkr,926,678,0,2,3,1,TA,7,Typ,0,Attchd,Fin,2.0,TA,Y,100,82,0,0,0,0,None,0,5,2008,WD ,Normal,2.5,3.9097397419999997
527106150,7.401231264413015,12.165250651009918,60,RL,59.0,9.109635667854551,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,828.0,Unf,0.0,115.0,943.0,GasA,Gd,Y,SBrkr,943,695,0,2,3,1,TA,7,Typ,2,Attchd,Fin,2.0,TA,Y,100,38,0,0,0,0,None,0,7,2008,WD ,Normal,3.5,3.904826512
527107010,7.400009517162692,12.061046873479915,60,RL,68.47022684310019,9.618335609937972,Pave,None,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1996,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,138.0,Unf,0.0,778.0,916.0,GasA,Gd,Y,SBrkr,916,720,0,2,3,1,TA,7,Typ,1,Attchd,Fin,2.0,TA,Y,168,84,0,0,0,0,None,0,11,2008,WD ,Normal,2.5,3.9034203080000003
527107020,7.421177528595393,12.043553716032399,60,RL,68.47022684310019,9.475853519656901,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1995,1995,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,781.0,781.0,GasA,Gd,Y,SBrkr,781,890,0,2,3,1,TA,7,Typ,1,Attchd,Fin,2.0,TA,Y,0,84,0,0,0,0,None,0,2,2006,WD ,Normal,2.5,3.900123422
527107030,7.311886164077165,12.141534124392603,60,RL,68.47022684310019,9.475086413144906,Pave,None,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,592.0,Unf,0.0,99.0,691.0,GasA,Gd,Y,SBrkr,691,807,0,2,3,1,TA,6,Typ,1,Attchd,Fin,2.0,TA,Y,315,44,0,0,0,0,None,0,7,2006,WD ,Normal,2.5,3.896826779
527107040,7.360103972989152,12.031719258385396,60,RL,68.47022684310019,9.246093541682,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,806.0,806.0,GasA,Gd,Y,SBrkr,806,766,0,2,3,1,TA,7,Typ,1,BuiltIn,Fin,2.0,TA,Y,0,40,0,0,0,0,None,0,5,2007,WD ,Normal,2.5,3.934272801
527107090,7.232733136177615,12.088976873653927,20,RL,53.0,9.556550752867032,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,1Story,5,5,1996,1997,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,450.0,Unf,0.0,898.0,1348.0,GasA,Gd,Y,SBrkr,1384,0,0,2,3,1,Gd,7,Typ,0,Attchd,Unf,2.0,TA,Y,0,39,0,0,0,0,None,0,11,2008,WD ,Normal,3.0,4.001814048
527107120,7.4821189235521155,12.216022976383341,60,RL,54.0,9.18840146445743,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1996,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,821.0,821.0,GasA,Gd,Y,SBrkr,821,955,0,2,3,1,TA,7,Typ,1,BuiltIn,Fin,2.0,TA,Y,286,116,0,0,0,0,None,0,5,2006,WD ,Normal,2.5,4.057725393999999
527107130,7.395107546562485,12.14950229404178,80,RL,60.0,9.035986984831405,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,SLvl,7,5,1996,1997,Gable,CompShg,HdBoard,HdBoard,BrkFace,32.0,TA,TA,PConc,Gd,TA,No,GLQ,284.0,Unf,0.0,100.0,384.0,GasA,Gd,Y,SBrkr,958,670,0,2,3,1,TA,7,Typ,1,BuiltIn,Fin,2.0,TA,Y,48,72,0,0,0,0,None,490,6,2009,WD ,Normal,2.5,4.077022532
527107210,7.27655640271871,12.072541252905651,60,RL,57.0,9.99296255896373,Pave,None,IR2,HLS,AllPub,FR2,Gtl,Gilbert,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,604.0,Unf,0.0,125.0,729.0,GasA,Ex,Y,SBrkr,729,717,0,2,3,1,TA,6,Typ,1,Attchd,Unf,2.0,TA,Y,264,22,0,0,0,0,None,0,8,2008,WD ,Normal,7.5,3.972610447
527107240,7.32052696227274,12.128111104060462,60,RL,70.0,9.324293862052029,Pave,None,IR1,HLS,AllPub,FR2,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,714.0,Unf,0.0,88.0,802.0,GasA,Gd,Y,SBrkr,802,709,0,2,3,1,TA,8,Typ,1,Attchd,Fin,2.0,TA,Y,95,75,0,0,0,0,None,0,6,2006,WD ,Normal,3.5,3.972610447
527108030,7.6324011266014535,12.429216196844383,60,RL,50.0,9.482502632769927,Pave,None,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,1Fam,2Story,8,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1074.0,1074.0,GasA,Ex,Y,SBrkr,1074,990,0,2,4,1,Gd,7,Typ,1,Attchd,Fin,2.0,TA,Y,0,119,0,0,0,0,None,0,1,2006,WD ,Normal,2.5,4.21487565
527108040,7.496097345175956,12.387977448827787,60,RL,72.0,9.255600503381046,Pave,None,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,1Fam,2Story,8,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,893.0,893.0,GasA,Ex,Y,SBrkr,901,900,0,2,3,1,Gd,8,Typ,1,Attchd,Fin,3.0,TA,Y,0,116,0,0,0,0,None,0,6,2006,WD ,Normal,2.5,4.217182449
527108060,7.701652362642226,12.641096555879882,60,RL,42.0,9.528866827722945,Pave,None,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,1Fam,2Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,248.0,Gd,TA,PConc,Gd,TA,Av,GLQ,60.0,Unf,0.0,1640.0,1700.0,GasA,Ex,Y,SBrkr,1700,512,0,2,3,1,Gd,9,Typ,1,Attchd,Fin,3.0,TA,Y,237,38,0,0,115,0,None,0,5,2006,New,Partial,3.5,4.221692287
527108070,7.465082736399547,12.841325847671216,20,RL,42.0,9.608579434992608,Pave,None,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,1Fam,1Story,9,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,160.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1320.0,Unf,0.0,426.0,1746.0,GasA,Ex,Y,SBrkr,1746,0,0,2,3,1,Ex,7,Typ,2,Attchd,Fin,3.0,TA,Y,201,39,0,0,0,0,None,0,10,2009,WD ,Normal,3.0,4.234618915
527108090,7.611347717403621,12.523525876315125,60,RL,168.0,10.054361440970256,Pave,None,IR3,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,No,Unf,0.0,Unf,0.0,868.0,868.0,GasA,Ex,Y,SBrkr,887,1134,0,2,3,1,Gd,9,Typ,1,BuiltIn,RFn,2.0,TA,Y,0,100,0,0,0,0,None,0,9,2006,New,Partial,2.5,4.22963452
527110020,7.295735072749282,12.034691028774553,80,RL,68.47022684310019,9.051344640485725,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,SLvl,7,5,1995,1996,Gable,CompShg,HdBoard,HdBoard,BrkFace,22.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,804,670,0,2,3,1,TA,7,Typ,1,BuiltIn,Fin,2.0,TA,Y,120,72,0,0,0,0,None,700,5,2009,WD ,Normal,2.5,3.945038761
527110080,7.293017679772782,12.083905011555967,60,RL,68.47022684310019,9.537411412656335,Pave,None,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182.0,Unf,0.0,612.0,794.0,GasA,Gd,Y,SBrkr,794,676,0,2,3,1,TA,6,Typ,0,Attchd,Fin,2.0,TA,Y,0,75,0,0,0,0,None,0,7,2007,WD ,Normal,7.0,3.972610447
527110120,7.3777589082278725,12.037653993905211,60,RL,57.0,9.079434102128383,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,916.0,916.0,GasA,Gd,Y,SBrkr,916,684,0,2,3,1,TA,7,Typ,1,Attchd,Fin,2.0,TA,Y,100,38,0,0,0,0,None,0,8,2007,WD ,Normal,2.5,3.972610447
527110130,7.232733136177615,11.992260421644849,80,RL,56.0,9.090655529030203,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,SLvl,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,754,630,0,2,3,1,TA,7,Typ,1,BuiltIn,Fin,2.0,TA,Y,0,0,0,0,0,0,None,0,3,2007,WD ,Normal,2.5,3.972610447
527126030,7.409741954080923,12.43320821811392,120,RL,41.0,8.58110651715989,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1196.0,Unf,0.0,298.0,1494.0,GasA,Ex,Y,SBrkr,1652,0,0,2,2,1,Ex,6,Typ,0,Attchd,RFn,2.0,TA,Y,96,48,0,0,0,0,None,0,8,2007,WD ,Normal,3.0,4.273305519
