PID,SalePrice_Log,MSSubClass,LotArea_Log,Street_Paved,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle_Gable,RoofMatl_CompShg,GrLivArea_Log,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,MoSold,YrSold,SaleCondition,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,TotalBath,ISU_dist
526352090,12.02574909,20,9.271247307,1,4,4,4,Inside,3,NAmes,Norm,1Fam,1Story,7,5,1970,1970,0,0,7.152268856,Plywood,None,0,3,4,CBlock,3,4,4,6,778,1,0,499,1277,GasA,3,1,4,2007,Normal,1,2,1,3,5,Typ,1,Attchd,Unf,2,3,3,0,0,0,0,176,0,2,2,3.755715114
526353030,12.4049235,20,9.320091236,1,4,4,4,Corner,3,NAmes,Norm,1Fam,1Story,7,5,1968,1968,0,1,7.654443226,BrkFace,None,0,4,3,CBlock,3,3,1,5,1065,1,0,1045,2110,GasA,5,1,4,2010,Normal,2,3,1,5,8,Typ,2,Attchd,Fin,2,3,3,0,0,0,0,0,0,0,3.5,3.813993816
526353050,12.3779229,20,9.466918699,1,3,4,4,Corner,3,NAmes,Norm,1Fam,1Story,6,7,1970,1970,1,1,7.657755271,BrkFace,None,0,3,3,CBlock,3,3,2,4,865,1,0,340,1205,GasA,5,1,5,2008,Normal,2,4,1,3,7,Typ,2,Attchd,Fin,2,3,3,0,42,0,0,0,0,0,2.5,3.415748729
526354020,12.16577135,20,9.369649154,1,4,4,4,Corner,3,NAmes,Norm,1Fam,1Story,7,6,1969,1969,1,1,7.523481313,HdBoard,BrkFace,434,3,4,CBlock,3,3,2,1,0,1,0,1851,1851,GasA,4,1,3,2006,Normal,2,3,1,3,8,Typ,1,Attchd,Fin,2,3,3,0,146,0,0,0,0,0,2,3.721123507
526354070,12.23999086,60,9.312445595,1,4,4,4,Inside,3,NAmes,Norm,1Fam,2Story,6,5,1969,1969,1,1,7.655390645,HdBoard,None,0,3,3,CBlock,2,3,2,5,500,2,276,176,952,GasA,3,1,6,2008,Normal,2,4,1,3,9,Typ,2,Attchd,Unf,2,3,3,280,0,0,0,0,0,0,2.5,3.643435296
526355080,12.7512997,80,9.536762273,1,4,4,4,Inside,3,NAmes,Norm,1Fam,SLvl,8,7,1972,1995,1,1,7.902487437,Plywood,None,0,4,3,CBlock,4,3,4,6,1410,1,0,542,1952,GasA,4,1,7,2009,Normal,2,4,1,5,9,Typ,3,Attchd,Fin,2,3,3,269,111,0,0,0,0,3,3.5,3.756543701
526355170,12.4049235,20,9.521568058,1,3,4,4,Inside,3,NAmes,Norm,1Fam,1Story,7,6,1973,1973,1,1,7.706612914,Plywood,BrkFace,1115,3,4,CBlock,4,3,4,5,1880,1,0,343,2223,GasA,5,1,2,2007,Normal,2,3,1,3,8,Typ,2,Attchd,Fin,2,3,3,300,0,0,0,0,0,0,3,3.673045024
526355190,12.49874226,20,9.671870704,1,3,4,4,Inside,2,NAmes,Norm,1Fam,1Story,8,6,1970,1970,0,0,7.70391021,Wd Sdng,None,0,4,4,PConc,3,4,4,5,351,3,823,1043,2217,GasA,5,1,10,2007,Normal,2,4,1,4,8,Typ,1,Attchd,Unf,2,3,3,81,207,0,0,224,0,0,3,3.732854313
527105010,12.1542529,60,9.534595425,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,5,5,1997,1998,1,1,7.395721609,VinylSd,None,0,3,3,PConc,4,3,1,6,791,1,0,137,928,GasA,4,1,3,2010,Normal,2,3,1,3,6,Typ,1,Attchd,Fin,2,3,3,212,34,0,0,0,0,3,2.5,3.892534675
527105030,12.18331566,60,9.208137948,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,6,6,1998,1998,1,1,7.380255788,VinylSd,BrkFace,20,3,3,PConc,3,3,1,6,602,1,0,324,926,GasA,5,1,6,2010,Normal,2,3,1,4,7,Typ,1,Attchd,Fin,2,3,3,360,36,0,0,0,0,0,2.5,3.903718065
527105050,12.14153412,60,9.071308163,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,6,5,1997,1998,1,1,7.380255788,VinylSd,None,0,3,3,PConc,3,3,1,4,706,1,0,220,926,GasA,5,1,4,2008,Normal,2,3,1,3,7,Typ,1,Attchd,Fin,2,3,3,0,36,0,0,0,0,0,2.5,3.978738116
527105060,12.11996995,60,9.016512875,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,6,5,1997,1998,1,1,7.329749689,VinylSd,None,0,3,3,PConc,3,3,1,6,700,1,0,113,813,GasA,5,1,5,2006,Normal,2,3,1,3,6,Typ,1,Attchd,Fin,2,3,3,421,72,0,0,0,0,0,3.5,3.983212119
527105070,12.1521443,60,9.228082053,1,3,4,4,Corner,3,Gilbert,Norm,1Fam,2Story,6,5,1997,1997,1,1,7.38274645,VinylSd,None,0,3,3,PConc,4,3,1,5,847,1,0,98,945,GasA,5,1,7,2009,Normal,2,3,1,3,7,Typ,1,Attchd,Fin,2,3,3,252,30,0,0,0,0,0,2.5,3.827473198
527105130,12.50617724,60,9.375176614,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,8,5,2003,2003,1,1,7.733245647,VinylSd,BrkFace,188,4,3,PConc,4,3,4,6,850,1,0,158,1008,GasA,5,1,8,2009,Normal,2,4,1,4,9,Typ,1,BuiltIn,Fin,3,3,3,120,46,0,0,0,0,0,2.5,3.907083424
527105140,12.32385568,60,9.424967764,1,3,4,4,Corner,3,Gilbert,Norm,1Fam,2Story,7,5,2003,2003,1,1,7.45760929,VinylSd,None,0,4,3,PConc,4,3,4,1,0,1,0,847,847,GasA,5,1,10,2007,Family,2,3,1,4,7,Typ,1,BuiltIn,Fin,2,3,3,100,48,0,0,0,0,0,2.5,3.911761496
527106010,12.31043266,60,9.473166068,1,3,4,4,Corner,3,Gilbert,Norm,1Fam,2Story,7,5,1997,1997,1,1,7.712443834,HdBoard,BrkFace,285,3,3,PConc,4,3,1,1,0,1,0,964,964,GasA,4,1,11,2006,Normal,2,4,1,4,8,Typ,1,BuiltIn,Fin,2,3,3,0,0,0,0,0,0,0,2.5,4.019546507
527106050,12.01370075,60,9.004422601,1,4,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,6,5,1995,1996,1,1,7.29301768,VinylSd,BrkFace,119,3,3,PConc,4,3,1,5,476,1,0,204,680,GasA,4,1,10,2008,Normal,2,3,1,3,7,Typ,1,BuiltIn,Fin,2,3,3,192,49,0,0,0,0,0,2.5,3.946440576
527106140,12.18331566,60,9.162724518,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,6,5,1998,1998,1,1,7.380255788,VinylSd,None,0,3,3,PConc,4,3,4,6,851,1,0,75,926,GasA,5,1,5,2008,Normal,2,3,1,3,7,Typ,0,Attchd,Fin,2,3,3,100,82,0,0,0,0,0,2.5,3.909739742
527106150,12.16525065,60,9.109635668,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,6,5,1998,1998,1,1,7.401231264,VinylSd,None,0,3,3,PConc,4,3,4,6,828,1,0,115,943,GasA,4,1,7,2008,Normal,2,3,1,3,7,Typ,2,Attchd,Fin,2,3,3,100,38,0,0,0,0,0,3.5,3.904826512
527107010,12.06104687,60,9.61833561,1,2,4,4,Corner,3,Gilbert,Norm,1Fam,2Story,6,5,1996,1996,1,1,7.400009517,HdBoard,None,0,3,3,PConc,4,3,1,3,138,1,0,778,916,GasA,4,1,11,2008,Normal,2,3,1,3,7,Typ,1,Attchd,Fin,2,3,3,168,84,0,0,0,0,0,2.5,3.903420308
527107020,12.04355372,60,9.47585352,1,2,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,6,5,1995,1995,1,1,7.421177529,HdBoard,None,0,3,3,PConc,4,3,1,1,0,1,0,781,781,GasA,4,1,2,2006,Normal,2,3,1,3,7,Typ,1,Attchd,Fin,2,3,3,0,84,0,0,0,0,0,2.5,3.900123422
527107030,12.14153412,60,9.475086413,1,2,4,4,Corner,3,Gilbert,Norm,1Fam,2Story,6,5,1995,1996,1,1,7.311886164,HdBoard,None,0,3,3,PConc,4,3,1,5,592,1,0,99,691,GasA,4,1,7,2006,Normal,2,3,1,3,6,Typ,1,Attchd,Fin,2,3,3,315,44,0,0,0,0,0,2.5,3.896826779
527107040,12.03171926,60,9.246093542,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,6,5,1995,1996,1,1,7.360103973,MetalSd,None,0,3,3,PConc,4,3,1,1,0,1,0,806,806,GasA,4,1,5,2007,Normal,2,3,1,3,7,Typ,1,BuiltIn,Fin,2,3,3,0,40,0,0,0,0,0,2.5,3.934272801
527107090,12.08897687,20,9.556550753,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,1Story,5,5,1996,1997,1,1,7.232733136,HdBoard,None,0,4,3,PConc,4,3,1,6,450,1,0,898,1348,GasA,4,1,11,2008,Normal,2,3,1,4,7,Typ,0,Attchd,Unf,2,3,3,0,39,0,0,0,0,0,3,4.001814048
527107120,12.21602298,60,9.188401464,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,6,5,1996,1996,1,1,7.482118924,HdBoard,None,0,3,3,PConc,4,3,1,1,0,1,0,821,821,GasA,4,1,5,2006,Normal,2,3,1,3,7,Typ,1,BuiltIn,Fin,2,3,3,286,116,0,0,0,0,0,2.5,4.057725394
527107130,12.14950229,80,9.035986985,1,4,4,4,Inside,3,Gilbert,Norm,1Fam,SLvl,7,5,1996,1997,1,1,7.395107547,HdBoard,BrkFace,32,3,3,PConc,4,3,1,6,284,1,0,100,384,GasA,4,1,6,2009,Normal,2,3,1,3,7,Typ,1,BuiltIn,Fin,2,3,3,48,72,0,0,0,0,0,2.5,4.077022532
527107210,12.07254125,60,9.992962559,1,2,2,4,FR2,3,Gilbert,Norm,1Fam,2Story,7,5,1996,1997,1,1,7.276556403,HdBoard,None,0,3,3,PConc,4,3,4,6,604,1,0,125,729,GasA,5,1,8,2008,Normal,2,3,1,3,6,Typ,1,Attchd,Unf,2,3,3,264,22,0,0,0,0,0,7.5,3.972610447
527107240,12.1281111,60,9.324293862,1,3,2,4,FR2,3,Gilbert,Norm,1Fam,2Story,6,5,1997,1997,1,1,7.320526962,VinylSd,None,0,3,3,PConc,4,3,3,6,714,1,0,88,802,GasA,4,1,6,2006,Normal,2,3,1,3,8,Typ,1,Attchd,Fin,2,3,3,95,75,0,0,0,0,0,3.5,3.972610447
527108030,12.4292162,60,9.482502633,1,3,2,4,CulDSac,3,Gilbert,Norm,1Fam,2Story,8,5,2005,2005,1,1,7.632401127,VinylSd,BrkFace,216,4,3,PConc,4,3,1,1,0,1,0,1074,1074,GasA,5,1,1,2006,Normal,2,4,1,4,7,Typ,1,Attchd,Fin,2,3,3,0,119,0,0,0,0,0,2.5,4.21487565
527108040,12.38797745,60,9.255600503,1,3,2,4,CulDSac,3,Gilbert,Norm,1Fam,2Story,8,5,2005,2005,1,1,7.496097345,VinylSd,None,0,4,3,PConc,4,3,1,1,0,1,0,893,893,GasA,5,1,6,2006,Normal,2,3,1,4,8,Typ,1,Attchd,Fin,3,3,3,0,116,0,0,0,0,0,2.5,4.217182449
527108060,12.64109656,60,9.528866828,1,3,2,4,CulDSac,3,Gilbert,Norm,1Fam,2Story,7,5,2005,2006,1,1,7.701652363,VinylSd,BrkFace,248,4,3,PConc,4,3,3,6,60,1,0,1640,1700,GasA,5,1,5,2006,Partial,2,3,1,4,9,Typ,1,Attchd,Fin,3,3,3,237,38,0,0,115,0,0,3.5,4.221692287
527108070,12.84132585,20,9.608579435,1,3,2,4,CulDSac,3,Gilbert,Norm,1Fam,1Story,9,5,2006,2007,1,1,7.465082736,VinylSd,Stone,160,5,3,PConc,5,3,4,6,1320,1,0,426,1746,GasA,5,1,10,2009,Normal,2,3,1,5,7,Typ,2,Attchd,Fin,3,3,3,201,39,0,0,0,0,0,3,4.234618915
527108090,12.52352588,60,10.05436144,1,1,2,4,CulDSac,3,Gilbert,Norm,1Fam,2Story,7,5,2006,2006,1,1,7.611347717,VinylSd,None,0,4,3,PConc,5,4,1,1,0,1,0,868,868,GasA,5,1,9,2006,Partial,2,3,1,4,9,Typ,1,BuiltIn,RFn,2,3,3,0,100,0,0,0,0,0,2.5,4.22963452
527110020,12.03469103,80,9.05134464,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,SLvl,7,5,1995,1996,1,1,7.295735073,HdBoard,BrkFace,22,3,3,PConc,4,3,1,1,0,1,0,384,384,GasA,4,1,5,2009,Normal,2,3,1,3,7,Typ,1,BuiltIn,Fin,2,3,3,120,72,0,0,0,0,0,2.5,3.945038761
527110080,12.08390501,60,9.537411413,1,2,4,4,Corner,3,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,1,1,7.29301768,VinylSd,None,0,3,3,PConc,4,3,3,6,182,1,0,612,794,GasA,4,1,7,2007,Normal,2,3,1,3,6,Typ,0,Attchd,Fin,2,3,3,0,75,0,0,0,0,0,7,3.972610447
527110120,12.03765399,60,9.079434102,1,3,2,4,Inside,3,Gilbert,Norm,1Fam,2Story,6,5,1997,1997,1,1,7.377758908,VinylSd,None,0,3,3,PConc,4,3,3,1,0,1,0,916,916,GasA,4,1,8,2007,Normal,2,3,1,3,7,Typ,1,Attchd,Fin,2,3,3,100,38,0,0,0,0,0,2.5,3.972610447
527110130,11.99226042,80,9.090655529,1,3,2,4,Inside,3,Gilbert,Norm,1Fam,SLvl,6,5,1997,1997,1,1,7.232733136,VinylSd,None,0,3,3,PConc,4,3,1,1,0,1,0,384,384,GasA,4,1,3,2007,Normal,2,3,1,3,7,Typ,1,BuiltIn,Fin,2,3,3,0,0,0,0,0,0,0,2.5,3.972610447
527126030,12.43320822,120,8.581106517,1,4,4,4,Inside,3,StoneBr,Norm,TwnhsE,1Story,8,5,2000,2000,1,1,7.409741954,CemntBd,None,0,4,3,PConc,4,3,3,6,1196,1,0,298,1494,GasA,5,1,8,2007,Normal,2,2,1,5,6,Typ,0,Attchd,RFn,2,3,3,96,48,0,0,0,0,0,3,4.273305519
527127100,12.8346813,120,8.895081532,1,3,4,4,CulDSac,3,StoneBr,Norm,TwnhsE,1Story,8,5,2004,2005,1,1,7.832807517,CemntBd,None,0,4,3,PConc,5,3,3,6,1965,1,0,243,2208,GasA,5,1,11,2009,Normal,2,1,1,4,8,Typ,1,Attchd,Fin,2,3,3,182,57,0,0,0,0,0,3,4.282735047
527127140,12.56374709,120,8.50167338,1,4,4,4,Inside,3,StoneBr,Norm,TwnhsE,1Story,8,5,2001,2002,1,1,7.37337431,CemntBd,None,0,4,3,PConc,5,3,3,6,1153,1,0,440,1593,GasA,5,1,8,2008,Normal,1,0,1,5,5,Typ,1,Attchd,Fin,2,3,3,0,120,0,0,224,0,0,2.5,4.282735047
527127150,12.27139211,120,8.501063809,1,4,4,4,Inside,3,StoneBr,Norm,TwnhsE,1Story,8,5,2001,2001,1,1,7.198931241,CemntBd,None,0,4,3,PConc,4,3,2,6,616,1,0,722,1338,GasA,5,1,4,2010,Normal,2,2,1,4,6,Typ,0,Attchd,Fin,2,3,3,0,0,170,0,0,0,0,3,4.282735047
527131030,12.53537639,120,8.641885635,1,3,4,4,Inside,3,StoneBr,Norm,TwnhsE,1Story,8,5,2000,2000,1,1,7.41397029,CemntBd,None,0,4,3,PConc,4,3,1,6,1158,1,0,343,1501,GasA,5,1,10,2009,Normal,2,2,1,5,5,Typ,1,Attchd,Fin,2,3,3,212,59,0,0,0,0,0,3,4.174049848
527131110,12.42078072,120,8.742574238,1,3,4,4,Corner,3,StoneBr,Norm,1Fam,1Story,8,5,1997,1997,1,1,7.427738841,CemntBd,None,0,4,3,PConc,5,3,2,6,656,1,0,1008,1664,GasA,5,1,7,2008,Normal,1,1,1,4,6,Min1,1,Attchd,Fin,2,3,3,0,0,0,0,0,0,0,2.5,4.114927107
527132090,12.3883942,120,8.906528918,1,3,4,4,Corner,3,StoneBr,Norm,1Fam,1Story,8,5,1998,1998,1,1,7.298445102,CemntBd,None,0,3,3,PConc,4,3,3,6,341,1,0,1077,1418,GasA,5,1,7,2009,Normal,2,2,1,3,5,Typ,0,Attchd,Fin,2,3,3,168,43,0,0,0,0,0,3,4.124063776
527140090,12.10071213,120,8.593227878,1,3,2,4,Inside,3,StoneBr,Norm,TwnhsE,1Story,8,5,1993,1993,1,1,7.198183577,HdBoard,None,0,4,3,PConc,4,3,1,6,733,1,0,604,1337,GasA,4,1,10,2008,Normal,2,2,1,4,5,Typ,1,Attchd,RFn,2,3,3,96,0,70,168,0,0,0,3,3.997308132
527145080,12.16264309,120,8.518192692,1,3,2,4,Inside,3,StoneBr,Norm,TwnhsE,1Story,8,5,1992,1992,1,1,7.154615357,HdBoard,None,0,4,3,PConc,4,3,1,5,263,1,0,1017,1280,GasA,5,1,1,2010,Normal,2,2,1,4,5,Typ,0,Attchd,RFn,2,3,3,0,82,0,0,144,0,0,2,3.989702772
527145090,12.10071213,120,8.531096097,1,3,2,4,Inside,3,StoneBr,Norm,TwnhsE,1Story,8,5,1992,1992,1,1,7.154615357,HdBoard,None,0,4,3,PConc,4,3,2,1,0,1,0,1280,1280,GasA,5,1,8,2008,Normal,2,2,1,4,5,Typ,0,Attchd,RFn,2,3,3,0,82,0,0,144,0,0,2,3.992588378
527146010,12.3863087,120,8.988820502,1,3,4,4,Corner,3,StoneBr,Norm,TwnhsE,1Story,8,5,1995,1996,1,1,7.458186157,CemntBd,None,0,4,3,PConc,4,3,1,6,741,1,0,846,1587,GasA,5,1,9,2009,Normal,2,2,1,4,6,Typ,0,Attchd,RFn,2,3,3,52,50,0,0,0,0,0,3,4.075608274
527146030,12.37370349,120,8.592115118,1,3,4,4,Inside,3,StoneBr,Norm,TwnhsE,1Story,8,5,1995,1996,1,1,7.387709239,CemntBd,None,0,4,3,PConc,4,3,1,6,1180,1,0,415,1595,GasA,5,1,3,2010,Normal,2,2,1,4,5,Typ,1,Attchd,RFn,2,3,3,237,152,0,0,0,0,0,3,4.076699759
527146135,12.50617724,160,9.48097801,1,3,4,4,Inside,3,StoneBr,Norm,1Fam,2Story,8,5,1994,1994,1,1,7.896180609,CemntBd,None,0,4,3,PConc,4,3,1,1,0,1,0,2062,2062,GasA,5,1,12,2006,Normal,2,4,1,4,9,Typ,0,Attchd,Fin,2,3,3,168,12,0,0,0,0,0,2.5,3.903062962
527158020,12.11996995,20,8.996651979,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,1Story,6,6,1993,1994,1,1,7.063903961,HdBoard,BrkFace,112,3,3,PConc,4,3,1,6,705,1,0,455,1160,GasA,4,1,7,2006,Normal,2,3,1,3,6,Typ,1,Attchd,Fin,2,3,3,0,26,0,0,144,0,3,7,3.819997334
527158090,11.98292909,80,9.224933374,1,3,4,4,CulDSac,3,Gilbert,Norm,1Fam,SLvl,6,5,1994,1994,1,1,7.434847875,HdBoard,BrkFace,32,3,3,PConc,4,3,1,2,186,1,0,206,392,GasA,4,1,3,2007,Normal,2,3,1,3,7,Typ,1,BuiltIn,Fin,2,3,3,256,64,0,0,0,0,3,2.5,3.848233366
527161010,12.10625231,60,9.29090602,1,3,4,4,Corner,3,Gilbert,Norm,1Fam,2Story,6,5,1997,1998,1,1,7.380255788,VinylSd,None,0,3,3,PConc,4,3,1,1,0,1,0,926,926,GasA,5,1,7,2008,Normal,2,3,1,3,7,Typ,1,Attchd,Fin,2,3,3,0,36,0,0,0,0,0,2.5,3.703646693
527161040,12.08672589,80,9.096387492,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,SLvl,7,5,1998,1998,1,1,7.231287004,VinylSd,None,0,4,3,PConc,4,3,1,6,189,1,0,195,384,GasA,4,1,2,2009,Normal,2,3,1,3,7,Typ,1,BuiltIn,Fin,2,3,3,256,0,0,0,0,0,0,2.5,3.715580903
527161090,12.10071213,60,9.063810579,1,3,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,6,5,1999,2000,1,1,7.446585099,VinylSd,None,0,3,3,PConc,4,3,1,5,871,1,0,52,923,GasA,4,1,4,2007,Abnorml,2,3,1,3,7,Typ,1,Attchd,Fin,2,3,3,256,48,0,0,0,0,0,3.5,3.701179654
527162080,12.09374346,60,8.971448464,1,4,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,7,5,1996,1996,1,1,7.347943823,HdBoard,None,0,4,3,PConc,4,3,1,3,414,1,0,277,691,GasA,4,1,8,2007,Normal,2,3,1,4,6,Typ,0,Attchd,Fin,2,3,3,0,44,0,0,0,0,0,2.5,3.739772268
527162090,12.07823927,20,8.971448464,1,4,4,4,Inside,3,Gilbert,Norm,1Fam,1Story,7,5,1995,1996,1,1,7.133295955,HdBoard,BrkFace,38,3,3,PConc,4,4,1,1,0,1,0,1237,1237,GasA,4,1,6,2007,Normal,2,3,1,3,6,Typ,1,Attchd,Fin,2,3,3,220,21,0,0,0,0,0,2,3.74288931
527162110,12.1281111,60,9.224341892,1,3,4,4,Corner,3,Gilbert,Norm,1Fam,2Story,7,5,1998,1998,1,1,7.448916103,VinylSd,BrkFace,40,3,3,PConc,4,3,1,1,0,1,0,832,832,GasA,4,1,12,2009,Normal,2,3,1,3,7,Typ,1,Attchd,Fin,2,3,3,0,94,0,0,291,0,0,2.5,3.7308908
527162120,12.16002871,60,8.9226583,1,4,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,6,5,1998,1999,1,1,7.400009517,VinylSd,None,0,4,3,PConc,4,3,1,6,476,1,0,476,952,GasA,4,1,10,2009,Normal,2,3,1,3,7,Typ,1,Attchd,Fin,2,3,3,0,84,0,0,0,0,0,3.5,3.727904499
527162130,12.14950229,60,8.9226583,1,4,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,7,5,1999,1999,1,1,7.497761701,VinylSd,None,0,3,3,PConc,3,3,1,1,0,1,0,994,994,GasA,4,1,6,2010,Normal,2,3,1,4,7,Typ,1,Attchd,Fin,2,3,3,140,60,0,0,0,0,0,2.5,3.724918286
527162140,12.22587527,60,8.9226583,1,4,4,4,Inside,3,Gilbert,Norm,1Fam,2Story,6,5,1999,2003,1,1,7.740229525,VinylSd,None,0,3,3,PConc,4,3,1,1,0,1,0,938,938,GasA,5,1,8,2007,Normal,3,5,1,3,7,Typ,1,Attchd,Fin,2,3,3,188,30,0,0,0,0,0,3.5,3.720439132
527162180,12.11724143,60,9.322239464,1,3,4,4,Corner,3,Gilbert,Norm,1Fam,2Story,6,5,1998,1998,1,1,7.398174093,VinylSd,None,0,3,3,PConc,4,3,1,1,0,1,0,932,932,GasA,4,1,4,2008,Family,2,3,1,3,7,Typ,1,Attchd,Fin,2,3,3,0,39,0,0,0,0,0,2.5,3.705510064
